year,DOY
1881,112
1882,97
1883,107
1884,109
1885,113
1886,108
1887,109
1888,107
1889,109
1890,98
1891,99
1892,115
1893,109
1894,98
1895,0
1896,106
1897,106
1898,108
1899,99
1900,102
1901,102
1902,98
1903,99
1904,108
1905,105
1906,105
1907,103
1908,102
1909,108
1910,104
1911,98
1912,105
1913,103
1914,102
1915,102
1916,112
1917,103
1918,104
1919,0
1920,104
1921,0
1922,101
1923,97
1924,111
1925,108
1926,108
1927,107
1928,107
1929,103
1930,95
1931,105
1932,105
1933,106
1934,104
1935,102
1936,111
1937,100
1938,98
1939,104
1940,110
1941,100
1942,96
1943,101
1944,100
1945,0
1946,97
1947,107
1948,102
1949,107
1950,99
1951,98
1952,105
1953,101
1954,98
1955,97
1956,99
1957,103
1958,99
1959,92
1960,95
1961,99
1962,102
1963,101
1964,99
1965,110
1966,97
1967,97
1968,99
1969,101
1970,107
1971,98
1972,99
1973,97
1974,99
1975,100
1976,99
1977,93
1978,104
1979,97
1980,102
1981,99
1982,93
1983,99
1984,109
1985,99
1986,102
1987,95
1988,106
1989,93
1990,88
1991,97
1992,94
1993,97
1994,99
1995,99
1996,103
1997,97
1998,91
1999,94
2000,100
2001,96
2002,91
2003,98
2004,92
2005,99
2006,98
2007,97
2008,95
2009,95
2010,95
2011,99
2012,101
2013,93
2014,94
2015,93
2016,95
2017,99
2018,89
2019,95
2020,92
