Year,TAVG,TMAX,TMIN,DOY
1881,2.0,9.7,-6.2,1
1881,2.4,6.3,-0.7,2
1881,1.4,9.7,-3.4,3
1881,0.6,10.1,-5.8,4
1881,0.8,11.3,-5.8,5
1881,2.0,11.3,-4.3,6
1881,2.0,7.3,-2.2,7
1881,0.5,6.6,-6.8,8
1881,1.9,8.4,-6.8,9
1881,1.5,8.4,-5.3,10
1881,-1.2,5.5,-9.2,11
1881,-1.6,6.1,-9.2,12
1881,0.2,6.1,-6.9,13
1881,0.2,7.5,-4.8,14
1881,-0.5,9.3,-5.9,15
1881,1.4,9.3,-5.9,16
1881,2.3,8.3,-4.2,17
1881,1.7,8.3,-2.4,18
1881,1.4,6.7,-2.4,19
1881,0.8,6.5,-3.8,20
1881,0.5,6.5,-6.3,21
1881,-0.2,2.9,-6.3,22
1881,0.1,6.6,-4.6,23
1881,0.8,6.6,-3.3,24
1881,-1.0,4.5,-5.2,25
1881,-1.7,2.2,-5.7,26
1881,-0.8,6.2,-5.7,27
1881,1.6,10.1,-5.3,28
1881,2.9,10.1,-5.3,29
1881,0.2,5.9,-5.2,30
1881,-2.3,2.8,-6.5,31
1881,-2.6,4.7,-7.8,32
1881,1.1,9.6,-7.8,33
1881,4.6,9.6,-3.7,34
1881,3.1,8.5,-3.3,35
1881,0.2,6.3,-5.8,36
1881,-1.0,4.8,-7.3,37
1881,-0.2,5.9,-7.3,38
1881,0.6,7.2,-7.2,39
1881,0.9,9.0,-4.7,40
1881,2.8,11.1,-5.3,41
1881,2.2,11.1,-5.3,42
1881,0.0,4.3,-7.5,43
1881,0.9,7.6,-7.5,44
1881,2.0,7.6,-5.2,45
1881,2.9,7.9,-1.2,46
1881,3.2,8.7,-1.2,47
1881,2.5,8.7,-1.1,48
1881,1.2,7.2,-2.9,49
1881,1.4,7.2,-3.7,50
1881,3.1,8.4,-3.7,51
1881,3.3,8.4,-1.5,52
1881,2.2,10.2,-4.3,53
1881,4.8,16.3,-4.3,54
1881,8.9,16.3,-2.7,55
1881,5.5,12.6,-0.4,56
1881,2.0,9.6,-1.2,57
1881,3.3,10.2,-3.3,58
1881,6.4,12.4,-3.3,59
1881,7.2,12.4,1.3,60
1881,4.9,12.3,1.0,61
1881,5.1,12.3,0.8,62
1881,5.0,9.0,-6.1,63
1881,1.7,9.0,-6.1,64
1881,-0.2,4.4,-3.2,65
1881,0.5,5.8,-3.6,66
1881,2.4,6.8,-3.6,67
1881,5.7,10.4,-3.1,68
1881,7.1,10.4,3.3,69
1881,8.5,10.8,3.3,70
1881,7.9,10.8,0.3,71
1881,6.7,10.2,-0.8,72
1881,5.6,9.9,-0.8,73
1881,2.5,9.8,-1.9,74
1881,1.3,7.2,-3.8,75
1881,1.6,9.1,-4.6,76
1881,1.2,10.4,-4.7,77
1881,2.7,13.9,-4.7,78
1881,5.9,13.9,-4.1,79
1881,8.0,12.5,-0.6,80
1881,7.3,11.9,2.6,81
1881,4.7,9.2,0.6,82
1881,3.6,9.2,-2.3,83
1881,2.9,8.6,-4.1,84
1881,2.9,11.8,-5.1,85
1881,4.7,15.4,-5.1,86
1881,6.3,15.7,-3.1,87
1881,7.3,15.7,-3.1,88
1881,8.0,17.2,-1.1,89
1881,7.2,17.2,-1.9,90
1881,8.3,18.9,-1.9,91
1881,11.3,18.9,-1.8,92
1881,10.3,14.1,1.6,93
1881,7.8,14.6,-1.6,94
1881,8.3,14.6,-1.6,95
1881,8.9,12.8,4.4,96
1881,8.0,14.3,2.6,97
1881,8.7,17.4,0.8,98
1881,8.6,17.4,-0.5,99
1881,8.0,18.9,-0.9,100
1881,11.8,19.6,-0.9,101
1881,14.5,19.9,2.6,102
1881,11.1,19.9,5.4,103
1881,6.8,11.4,1.7,104
1881,6.2,13.6,1.0,105
1881,8.8,16.7,0.7,106
1881,11.0,16.7,0.7,107
1881,10.7,14.7,4.2,108
1881,10.0,18.7,1.2,109
1881,12.4,18.7,1.2,110
1881,13.7,19.2,5.0,111
1881,10.9,19.2,1.3,112
1881,10.6,15.4,1.3,113
1881,14.1,22.4,5.7,114
1881,17.8,24.3,5.7,115
1881,18.9,24.3,13.1,116
1881,18.7,25.3,14.2,117
1881,18.8,25.3,14.2,118
1881,16.3,21.7,8.6,119
1881,14.8,23.8,6.9,120
1882,1.7,6.4,-3.0,1
1882,1.7,8.7,-2.9,2
1882,1.7,8.7,-4.4,3
1882,5.0,13.9,-4.4,4
1882,8.8,16.3,1.2,5
1882,7.7,16.3,0.8,6
1882,5.1,10.7,-1.8,7
1882,5.8,10.1,-1.8,8
1882,4.7,10.1,-1.6,9
1882,3.0,10.8,-2.3,10
1882,2.6,10.8,-2.3,11
1882,1.7,5.6,-1.9,12
1882,2.2,7.8,-1.1,13
1882,1.9,7.8,-3.1,14
1882,0.9,5.6,-3.1,15
1882,1.0,4.0,-2.5,16
1882,1.8,6.6,-3.8,17
1882,3.2,9.6,-3.8,18
1882,4.5,11.3,-6.6,19
1882,5.0,13.0,-6.6,20
1882,4.3,13.0,-0.3,21
1882,3.1,10.1,-1.2,22
1882,3.6,10.1,-3.4,23
1882,5.9,10.1,-3.4,24
1882,7.9,14.6,0.8,25
1882,8.8,14.6,0.8,26
1882,6.2,11.4,0.6,27
1882,2.8,7.3,-0.9,28
1882,3.0,8.5,-0.9,29
1882,5.7,10.1,-0.4,30
1882,9.2,14.6,2.8,31
