Year,TAVG,TMAX,TMIN,DOY
1949,5.56,5.56,0.56,1
1949,5.56,5.56,-1.11,2
1949,8.33,9.44,-4.44,3
1949,5.0,8.33,0.0,4
1949,7.22,7.22,3.33,5
1949,11.67,12.78,5.56,6
1949,14.44,15.0,0.0,7
1949,15.56,17.78,2.22,8
1949,13.33,16.11,3.89,9
1949,14.44,14.44,1.11,10
1949,8.89,14.44,0.56,11
1949,4.44,8.89,-0.56,12
1949,9.44,10.0,0.0,13
1949,8.33,10.0,0.0,14
1949,5.56,8.33,-3.89,15
1949,18.33,18.33,-1.67,16
1949,13.33,18.33,9.44,17
1949,7.22,13.33,4.44,18
1949,12.22,17.78,6.11,19
1949,4.44,12.22,-1.67,20
1949,3.33,4.44,-4.44,21
1949,11.67,14.44,2.78,22
1949,2.22,11.67,1.67,23
1949,13.33,13.33,0.56,24
1949,10.0,13.33,9.44,25
1949,6.67,10.0,2.22,26
1949,5.56,6.67,2.22,27
1949,21.67,22.22,3.33,28
1949,3.89,21.67,2.78,29
1949,-1.67,3.89,-7.22,30
1949,1.11,1.11,-5.56,31
1949,5.56,6.11,-3.33,32
1949,5.0,5.56,-6.11,33
1949,6.67,7.78,-10.0,34
1949,10.56,10.56,1.67,35
1949,7.22,10.56,2.22,36
1949,6.67,7.22,-4.44,37
1949,11.11,12.22,2.78,38
1949,14.44,15.0,-5.0,39
1949,15.56,20.56,5.0,40
1949,0.56,15.56,-0.56,41
1949,2.22,2.78,-2.78,42
1949,10.0,10.0,-6.67,43
1949,18.89,19.44,4.44,44
1949,17.22,19.44,12.22,45
1949,23.89,25.56,9.44,46
1949,5.56,23.89,4.44,47
1949,8.33,9.44,1.67,48
1949,11.67,12.78,-3.89,49
1949,13.33,13.33,5.56,50
1949,16.67,19.44,9.44,51
1949,4.44,16.67,3.33,52
1949,8.89,8.89,3.33,53
1949,12.22,12.78,6.11,54
1949,12.78,13.33,-1.11,55
1949,10.0,15.56,6.67,56
1949,8.33,10.0,1.11,57
1949,7.22,8.33,-3.33,58
1949,1.67,7.22,-4.44,59
1949,2.78,3.33,-5.56,60
1949,4.44,6.67,-4.44,61
1949,5.0,7.22,1.67,62
1949,12.22,12.22,-5.0,63
1949,17.22,18.89,3.33,64
1949,12.22,22.22,7.22,65
1949,4.44,12.78,-1.67,66
1949,13.33,13.89,-5.56,67
1949,13.33,15.56,-3.33,68
1949,6.11,13.33,5.56,69
1949,7.22,8.33,1.11,70
1949,4.44,7.22,-0.56,71
1949,10.0,11.11,-0.56,72
1949,11.67,14.44,-0.56,73
1949,1.11,12.22,-1.67,74
1949,6.11,6.67,-4.44,75
1949,8.33,9.44,-0.56,76
1949,3.33,8.33,1.11,77
1949,2.78,4.44,-5.0,78
1949,8.89,8.89,-3.89,79
1949,18.89,19.44,-2.22,80
1949,17.78,21.67,8.33,81
1949,20.0,22.22,12.78,82
1949,15.56,20.0,5.0,83
1949,13.89,15.56,7.78,84
1949,18.33,18.33,12.78,85
1949,28.33,28.33,15.56,86
1949,16.11,28.33,13.89,87
1949,23.89,24.44,6.67,88
1949,26.67,27.78,10.56,89
1949,9.44,26.67,9.44,90
1949,8.33,9.44,4.44,91
1949,15.0,15.0,1.67,92
1949,14.44,16.67,4.44,93
1949,15.56,16.11,5.56,94
1949,11.67,16.11,0.56,95
1949,15.0,15.56,5.56,96
1949,13.33,15.56,4.44,97
1949,12.22,16.11,4.44,98
1949,14.44,15.56,3.89,99
1949,16.67,17.22,3.33,100
1949,15.56,17.22,6.11,101
1949,20.56,22.22,3.89,102
1949,15.56,21.11,11.11,103
1949,22.78,23.89,10.56,104
1949,28.89,30.0,9.44,105
1949,7.78,29.44,5.56,106
1949,13.89,15.0,0.0,107
1949,16.67,16.67,7.22,108
1949,13.33,17.22,3.33,109
1949,18.89,19.44,4.44,110
1949,25.0,26.11,7.22,111
1949,15.0,25.0,11.11,112
1949,22.78,23.89,10.56,113
1949,12.78,23.33,8.89,114
1949,17.78,18.33,4.44,115
1949,28.33,29.44,6.67,116
1949,21.11,29.44,15.0,117
1949,18.89,21.67,10.56,118
1949,18.89,20.0,0.0,119
1949,20.56,22.78,3.33,120
1950,8.89,11.67,-17.78,1
1950,13.33,14.44,-17.78,2
1950,15.0,15.0,-17.78,3
1950,20.56,21.67,-17.78,4
1950,18.33,21.11,-17.78,5
1950,21.11,23.33,11.11,6
1950,5.0,21.11,-17.78,7
1950,2.78,5.0,-17.78,8
1950,11.11,11.11,-1.11,9
1950,20.0,21.11,10.0,10
1950,9.44,20.56,7.22,11
1950,0.56,9.44,2.78,12
1950,8.33,8.33,0.0,13
1950,15.0,17.78,5.0,14
1950,8.89,15.0,-0.56,15
1950,6.11,11.11,6.11,16
1950,6.11,7.22,-2.22,17
1950,15.56,17.78,1.67,18
1950,1.11,15.56,-5.56,19
1950,1.11,2.22,-6.67,20
1950,5.56,6.11,-3.33,21
1950,10.0,11.67,0.56,22
1950,16.11,17.22,4.44,23
1950,22.22,23.89,7.22,24
1950,23.33,25.0,12.78,25
1950,25.0,26.67,15.0,26
1950,6.11,25.0,3.89,27
1950,6.11,10.56,-5.0,28
1950,15.0,15.56,2.78,29
1950,3.89,15.0,3.89,30
1950,5.0,5.0,0.0,31
1950,1.67,5.0,1.67,32
1950,7.78,8.33,1.67,33
1950,3.89,7.78,0.0,34
1950,7.78,8.89,-2.22,35
1950,8.89,8.89,-5.0,36
1950,9.44,9.44,0.56,37
1950,6.67,9.44,6.11,38
1950,5.56,7.22,-5.56,39
1950,12.22,12.22,2.78,40
1950,3.33,12.22,2.78,41
1950,13.33,13.33,2.78,42
1950,13.33,13.33,4.44,43
1950,5.0,13.33,4.44,44
1950,7.22,7.22,2.78,45
1950,10.56,11.11,4.44,46
1950,5.56,10.56,2.22,47
1950,3.89,5.56,0.0,48
1950,8.89,8.89,-1.11,49
1950,5.0,8.89,0.0,50
1950,-2.78,5.56,-8.33,51
1950,2.78,3.89,-9.44,52
1950,8.33,8.33,0.0,53
1950,5.56,12.22,2.78,54
1950,12.78,12.78,-1.11,55
1950,0.56,12.78,-3.33,56
1950,-1.11,0.56,-6.67,57
1950,0.56,1.11,-7.22,58
1950,3.89,3.89,-8.89,59
1950,8.89,12.22,3.33,60
1950,-3.89,8.89,-5.56,61
1950,0.0,1.11,-10.0,62
1950,5.56,6.11,-7.78,63
1950,16.67,17.22,-6.67,64
1950,12.22,16.67,-1.11,65
1950,6.11,12.22,-17.78,66
1950,13.33,13.33,-17.78,67
1950,-2.22,13.33,-17.78,68
1950,7.22,-17.78,-17.78,69
1950,4.44,7.22,-3.89,70
1950,16.67,17.22,1.67,71
1950,6.67,16.67,4.44,72
1950,7.22,7.78,-1.67,73
1950,15.0,16.11,-2.78,74
1950,-3.33,15.56,-3.89,75
1950,7.22,8.33,-5.0,76
1950,6.11,7.22,0.0,77
1950,7.22,7.78,-5.56,78
1950,9.44,9.44,-5.56,79
1950,10.0,11.11,3.89,80
1950,4.44,11.11,3.89,81
1950,7.22,7.78,1.11,82
1950,18.33,18.33,4.44,83
1950,11.11,18.33,1.67,84
1950,10.56,11.67,1.11,85
1950,25.56,26.67,6.11,86
1950,25.0,26.11,16.11,87
1950,8.89,25.0,7.22,88
1950,8.33,9.44,-17.78,89
1950,11.11,11.11,-17.78,90
1950,12.22,13.33,-17.78,91
1950,17.22,17.78,-17.78,92
1950,26.67,26.67,-17.78,93
1950,26.67,28.33,-17.78,94
1950,12.78,26.67,7.22,95
1950,7.22,12.78,1.11,96
1950,12.22,12.22,-3.89,97
1950,15.0,17.78,-2.22,98
1950,11.11,15.0,-1.67,99
1950,9.44,11.67,2.22,100
1950,18.33,23.89,2.22,101
1950,12.78,20.0,5.0,102
1950,4.44,14.44,0.0,103
1950,8.33,9.44,-5.56,104
1950,9.44,9.44,-2.22,105
1950,16.67,16.67,-2.78,106
1950,23.89,24.44,0.0,107
1950,21.11,25.0,11.11,108
1950,25.0,28.33,10.56,109
1950,11.67,25.0,7.22,110
1950,13.33,15.0,6.11,111
1950,16.67,19.44,1.11,112
1950,18.33,18.89,5.0,113
1950,16.11,20.0,9.44,114
1950,10.0,16.11,4.44,115
1950,15.83,23.89,7.78,116
1950,23.89,26.11,5.0,117
1950,24.44,25.0,11.67,118
1950,13.89,24.44,11.67,119
1950,9.44,13.89,7.78,120
1951,2.78,4.44,-6.11,1
1951,6.67,8.33,-1.11,2
1951,15.56,16.11,3.33,3
1951,11.11,18.33,10.0,4
1951,9.44,11.11,-1.67,5
1951,12.22,12.78,0.0,6
1951,4.44,11.67,2.22,7
1951,-1.67,4.44,-5.56,8
1951,1.11,2.22,-9.44,9
1951,6.11,8.89,-8.89,10
1951,7.78,9.44,1.11,11
1951,6.67,8.89,-3.89,12
1951,2.78,6.67,-3.33,13
1951,1.67,3.89,-2.78,14
1951,7.22,10.0,0.56,15
1951,3.89,7.78,1.11,16
1951,13.33,13.33,-5.0,17
1951,17.22,18.33,6.11,18
1951,20.0,21.67,4.44,19
1951,18.89,21.67,6.67,20
1951,3.33,18.89,2.78,21
1951,1.67,3.33,-10.56,22
1951,6.67,7.22,-6.67,23
1951,10.0,11.11,3.89,24
1951,1.67,10.0,1.11,25
1951,0.0,2.22,-5.56,26
1951,7.78,7.78,-5.56,27
1951,7.22,8.89,-1.11,28
1951,2.78,12.22,2.22,29
1951,-3.33,3.33,-4.44,30
1951,-3.33,-3.33,-7.22,31
1951,2.78,2.78,-3.89,32
1951,-3.89,7.78,-7.78,33
1951,-6.11,-3.89,-12.22,34
1951,1.11,2.22,-11.11,35
1951,4.44,5.56,-4.44,36
1951,7.22,8.89,-6.11,37
1951,0.0,12.22,-0.56,38
1951,-5.56,0.56,-12.78,39
1951,-4.44,-3.33,-12.78,40
1951,-0.56,0.0,-7.78,41
1951,5.0,5.56,-5.0,42
1951,18.89,19.44,-3.33,43
1951,21.11,22.78,-0.56,44
1951,6.67,21.67,5.0,45
1951,1.67,6.67,-1.67,46
1951,5.56,5.56,-4.44,47
1951,7.78,7.78,-5.0,48
1951,12.22,12.78,0.0,49
1951,6.67,12.22,-0.56,50
1951,7.78,7.78,3.33,51
1951,7.22,7.78,5.0,52
1951,-17.78,-17.78,-17.78,53
1951,8.89,11.67,0.56,54
1951,10.0,10.56,-0.56,55
1951,16.67,17.78,3.33,56
1951,20.56,21.11,6.11,57
1951,19.44,20.56,6.67,58
1951,8.89,19.44,2.78,59
1951,6.67,8.89,2.78,60
1951,17.22,17.78,0.0,61
1951,8.33,17.22,2.78,62
1951,8.89,8.89,5.0,63
1951,15.0,15.56,2.22,64
1951,15.0,16.67,-1.11,65
1951,20.56,21.67,5.56,66
1951,15.0,20.56,1.67,67
1951,5.56,15.0,1.67,68
1951,6.11,6.11,-3.89,69
1951,8.33,8.33,-6.11,70
1951,12.22,12.22,-2.78,71
1951,3.33,12.22,2.22,72
1951,7.78,8.89,-1.11,73
1951,-17.78,-17.78,-17.78,74
1951,8.33,9.44,1.67,75
1951,-17.78,-17.78,-17.78,76
1951,-17.78,-17.78,-17.78,77
