"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00186350","38.9133","-76.97","15.2","1949-01-01","42","33","42"
"USC00186350","38.9133","-76.97","15.2","1949-01-02","42","30","42"
"USC00186350","38.9133","-76.97","15.2","1949-01-03","49","24","47"
"USC00186350","38.9133","-76.97","15.2","1949-01-04","47","32","41"
"USC00186350","38.9133","-76.97","15.2","1949-01-05","45","38","45"
"USC00186350","38.9133","-76.97","15.2","1949-01-06","55","42","53"
"USC00186350","38.9133","-76.97","15.2","1949-01-07","59","32","58"
"USC00186350","38.9133","-76.97","15.2","1949-01-08","64","36","60"
"USC00186350","38.9133","-76.97","15.2","1949-01-09","61","39","56"
"USC00186350","38.9133","-76.97","15.2","1949-01-10","58","34","58"
"USC00186350","38.9133","-76.97","15.2","1949-01-11","58","33","48"
"USC00186350","38.9133","-76.97","15.2","1949-01-12","48","31","40"
"USC00186350","38.9133","-76.97","15.2","1949-01-13","50","32","49"
"USC00186350","38.9133","-76.97","15.2","1949-01-14","50","32","47"
"USC00186350","38.9133","-76.97","15.2","1949-01-15","47","25","42"
"USC00186350","38.9133","-76.97","15.2","1949-01-16","65","29","65"
"USC00186350","38.9133","-76.97","15.2","1949-01-17","65","49","56"
"USC00186350","38.9133","-76.97","15.2","1949-01-18","56","40","45"
"USC00186350","38.9133","-76.97","15.2","1949-01-19","64","43","54"
"USC00186350","38.9133","-76.97","15.2","1949-01-20","54","29","40"
"USC00186350","38.9133","-76.97","15.2","1949-01-21","40","24","38"
"USC00186350","38.9133","-76.97","15.2","1949-01-22","58","37","53"
"USC00186350","38.9133","-76.97","15.2","1949-01-23","53","35","36"
"USC00186350","38.9133","-76.97","15.2","1949-01-24","56","33","56"
"USC00186350","38.9133","-76.97","15.2","1949-01-25","56","49","50"
"USC00186350","38.9133","-76.97","15.2","1949-01-26","50","36","44"
"USC00186350","38.9133","-76.97","15.2","1949-01-27","44","36","42"
"USC00186350","38.9133","-76.97","15.2","1949-01-28","72","38","71"
"USC00186350","38.9133","-76.97","15.2","1949-01-29","71","37","39"
"USC00186350","38.9133","-76.97","15.2","1949-01-30","39","19","29"
"USC00186350","38.9133","-76.97","15.2","1949-01-31","34","22","34"
"USC00186350","38.9133","-76.97","15.2","1949-02-01","43","26","42"
"USC00186350","38.9133","-76.97","15.2","1949-02-02","42","21","41"
"USC00186350","38.9133","-76.97","15.2","1949-02-03","46","14","44"
"USC00186350","38.9133","-76.97","15.2","1949-02-04","51","35","51"
"USC00186350","38.9133","-76.97","15.2","1949-02-05","51","36","45"
"USC00186350","38.9133","-76.97","15.2","1949-02-06","45","24","44"
"USC00186350","38.9133","-76.97","15.2","1949-02-07","54","37","52"
"USC00186350","38.9133","-76.97","15.2","1949-02-08","59","23","58"
"USC00186350","38.9133","-76.97","15.2","1949-02-09","69","41","60"
"USC00186350","38.9133","-76.97","15.2","1949-02-10","60","31","33"
"USC00186350","38.9133","-76.97","15.2","1949-02-11","37","27","36"
"USC00186350","38.9133","-76.97","15.2","1949-02-12","50","20","50"
"USC00186350","38.9133","-76.97","15.2","1949-02-13","67","40","66"
"USC00186350","38.9133","-76.97","15.2","1949-02-14","67","54","63"
"USC00186350","38.9133","-76.97","15.2","1949-02-15","78","49","75"
"USC00186350","38.9133","-76.97","15.2","1949-02-16","75","40","42"
"USC00186350","38.9133","-76.97","15.2","1949-02-17","49","35","47"
"USC00186350","38.9133","-76.97","15.2","1949-02-18","55","25","53"
"USC00186350","38.9133","-76.97","15.2","1949-02-19","56","42","56"
"USC00186350","38.9133","-76.97","15.2","1949-02-20","67","49","62"
"USC00186350","38.9133","-76.97","15.2","1949-02-21","62","38","40"
"USC00186350","38.9133","-76.97","15.2","1949-02-22","48","38","48"
