STATION,DATE,TMAX,TMIN,TOBS
USC00186350,1/1/49,42,33,42
USC00182325,1/1/49,57,32,43
USC00189035,1/1/49,39,29,37
USW00013710,1/1/49,43,35,
USW00013751,1/1/49,42,36,
USW00093725,1/1/49,44,35,
USC00186350,1/2/49,42,30,42
USC00182325,1/2/49,43,29,41
USC00189035,1/2/49,43,28,31
USW00013710,1/2/49,41,30,
USW00013751,1/2/49,41,31,
USW00093725,1/2/49,42,30,
USC00186350,1/3/49,49,24,47
USC00182325,1/3/49,48,22,47
USC00189035,1/3/49,47,27,27
USW00013710,1/3/49,49,27,
USW00013751,1/3/49,48,29,
USW00093725,1/3/49,50,27,
USC00186350,1/4/49,47,32,41
USC00182325,1/4/49,47,35,42
USC00189035,1/4/49,49,27,32
USW00013710,1/4/49,43,34,
USW00013751,1/4/49,43,35,
USW00093725,1/4/49,45,35,
USC00186350,1/5/49,45,38,45
USC00182325,1/5/49,54,35,54
USC00189035,1/5/49,41,32,39
USW00013710,1/5/49,52,38,
USW00013751,1/5/49,54,40,
USW00093725,1/5/49,52,40,
USC00186350,1/6/49,55,42,53
USC00182325,1/6/49,55,38,53
USC00189035,1/6/49,54,39,41
USW00013710,1/6/49,55,37,
USW00013751,1/6/49,54,34,
USW00093725,1/6/49,55,38,
USC00186350,1/7/49,59,32,58
USC00182325,1/7/49,60,27,60
USC00189035,1/7/49,52,32,36
USW00013710,1/7/49,59,35,
USW00013751,1/7/49,55,33,
USW00093725,1/7/49,61,35,
USC00186350,1/8/49,64,36,60
USC00182325,1/8/49,63,32,63
USC00189035,1/8/49,59,34,45
USW00013710,1/8/49,63,39,
USW00013751,1/8/49,58,39,
USW00093725,1/8/49,65,39,
USC00186350,1/9/49,61,39,56
USC00182325,1/9/49,63,35,59
USC00189035,1/9/49,63,41,44
USW00013710,1/9/49,62,40,
USW00013751,1/9/49,57,40,
USW00093725,1/9/49,60,41,
USC00186350,1/10/49,58,34,58
USC00182325,1/10/49,60,33,58
USC00189035,1/10/49,59,38,40
USW00013710,1/10/49,58,38,
USW00013751,1/10/49,58,39,
USW00093725,1/10/49,60,39,
USC00186350,1/11/49,58,33,48
USC00182325,1/11/49,58,41,47
USC00189035,1/11/49,59,38,42
USW00013710,1/11/49,53,40,
USW00013751,1/11/49,53,40,
USW00093725,1/11/49,54,40,
USC00186350,1/12/49,48,31,40
USC00182325,1/12/49,47,31,39
USC00189035,1/12/49,49,30,30
USW00013710,1/12/49,40,32,
USW00013751,1/12/49,41,33,
USW00093725,1/12/49,41,32,
USC00186350,1/13/49,50,32,49
USC00182325,1/13/49,49,29,49
USC00189035,1/13/49,39,28,32
USW00013710,1/13/49,49,33,
USW00013751,1/13/49,47,34,
USW00093725,1/13/49,51,34,
USC00186350,1/14/49,50,32,47
USC00182325,1/14/49,49,28,47
USC00189035,1/14/49,49,32,40
USW00013710,1/14/49,49,34,
USW00013751,1/14/49,48,35,
USW00093725,1/14/49,50,34,
USC00186350,1/15/49,47,25,42
USC00182325,1/15/49,47,26,43
USC00189035,1/15/49,51,25,28
USW00013710,1/15/49,44,31,
USW00013751,1/15/49,43,31,
USW00093725,1/15/49,44,32,
USC00186350,1/16/49,65,29,65
USC00182325,1/16/49,59,30,59
USC00189035,1/16/49,44,28,32
USW00013710,1/16/49,65,35,
USW00013751,1/16/49,61,35,
USW00093725,1/16/49,65,36,
USC00186350,1/17/49,65,49,56
USC00182325,1/17/49,63,39,55
USC00189035,1/17/49,62,32,53
USW00013710,1/17/49,60,47,
USW00013751,1/17/49,60,45,
USW00093725,1/17/49,61,48,
USC00186350,1/18/49,56,40,45
USC00182325,1/18/49,55,36,45
USC00189035,1/18/49,59,40,41
USW00013710,1/18/49,49,43,
USW00013751,1/18/49,47,43,
USW00093725,1/18/49,48,44,
USC00186350,1/19/49,64,43,54
USC00182325,1/19/49,,,
USC00189035,1/19/49,56,41,55
USW00013710,1/19/49,63,42,
USW00013751,1/19/49,62,40,
USW00093725,1/19/49,64,41,
USC00186350,1/20/49,54,29,40
USC00182325,1/20/49,66,29,39
USC00189035,1/20/49,63,27,48
USW00013710,1/20/49,42,31,
USW00013751,1/20/49,40,30,
USW00093725,1/20/49,43,30,
USC00186350,1/21/49,40,24,38
USC00182325,1/21/49,40,23,37
USC00189035,1/21/49,48,26,40
USW00013710,1/21/49,40,28,
USW00013751,1/21/49,41,28,
USW00093725,1/21/49,41,30,
USC00186350,1/22/49,58,37,53
USC00182325,1/22/49,,,
USC00189035,1/22/49,40,25,40
USW00013710,1/22/49,56,37,
USW00013751,1/22/49,55,38,
USW00093725,1/22/49,56,36,
USC00186350,1/23/49,53,35,36
USC00182325,1/23/49,38,37,38
USC00189035,1/23/49,62,35,35
USW00013710,1/23/49,42,34,
USW00013751,1/23/49,42,35,
USW00093725,1/23/49,44,35,
USC00186350,1/24/49,56,33,56
USC00182325,1/24/49,55,34,55
USC00189035,1/24/49,39,32,39
USW00013710,1/24/49,57,35,
USW00013751,1/24/49,57,37,
USW00093725,1/24/49,53,36,
USC00186350,1/25/49,56,49,50
USC00182325,1/25/49,55,47,50
USC00189035,1/25/49,56,39,53
USW00013710,1/25/49,56,42,
USW00013751,1/25/49,55,43,
USW00093725,1/25/49,57,44,
USC00186350,1/26/49,50,36,44
USC00182325,1/26/49,50,36,42
USC00189035,1/26/49,55,34,34
USW00013710,1/26/49,45,37,
USW00013751,1/26/49,45,38,
USW00093725,1/26/49,45,38,
USC00186350,1/27/49,44,36,42
USC00182325,1/27/49,43,36,42
USC00189035,1/27/49,44,34,44
USW00013710,1/27/49,44,39,
USW00013751,1/27/49,44,40,
USW00093725,1/27/49,44,39,
USC00186350,1/28/49,72,38,71
USC00182325,1/28/49,72,36,72
USC00189035,1/28/49,45,36,39
USW00013710,1/28/49,71,39,
USW00013751,1/28/49,68,40,
USW00093725,1/28/49,73,39,
USC00186350,1/29/49,71,37,39
USC00182325,1/29/49,72,37,39
USC00189035,1/29/49,69,36,36
USW00013710,1/29/49,49,36,
USW00013751,1/29/49,45,31,
USW00093725,1/29/49,49,29,
USC00186350,1/30/49,39,19,29
USC00182325,1/30/49,39,18,27
USC00189035,1/30/49,40,18,18
USW00013710,1/30/49,30,21,
USW00013751,1/30/49,30,22,
USW00093725,1/30/49,29,19,
USC00186350,1/31/49,34,22,34
USC00182325,1/31/49,33,23,33
USC00189035,1/31/49,26,18,26
USW00013710,1/31/49,34,26,
USW00013751,1/31/49,37,33,
USW00093725,1/31/49,35,24,
USC00186350,2/1/49,43,26,42
USC00182325,2/1/49,,,
USC00189035,2/1/49,34,26,28
USW00013710,2/1/49,41,29,
USW00013751,2/1/49,40,30,
USW00093725,2/1/49,41,29,
USC00186350,2/2/49,42,21,41
USC00182325,2/2/49,,,
USC00189035,2/2/49,42,22,28
USW00013710,2/2/49,40,25,
USW00013751,2/2/49,40,21,
USW00093725,2/2/49,41,25,
USC00186350,2/3/49,46,14,44
USC00182325,2/3/49,45,15,44
USC00189035,2/3/49,42,19,23
USW00013710,2/3/49,45,20,
USW00013751,2/3/49,45,23,
USW00093725,2/3/49,47,24,
USC00186350,2/4/49,51,35,51
USC00182325,2/4/49,49,35,49
USC00189035,2/4/49,44,23,35
USW00013710,2/4/49,52,37,
USW00013751,2/4/49,52,39,
USW00093725,2/4/49,52,37,
USC00186350,2/5/49,51,36,45
USC00182325,2/5/49,49,35,43
USC00189035,2/5/49,51,28,37
USW00013710,2/5/49,45,32,
USW00013751,2/5/49,46,54,
USW00093725,2/5/49,43,36,
USC00186350,2/6/49,45,24,44
USC00182325,2/6/49,43,23,43
USC00189035,2/6/49,45,26,30
USW00013710,2/6/49,48,28,
USW00013751,2/6/49,47,31,
USW00093725,2/6/49,46,31,
USC00186350,2/7/49,54,37,52
USC00182325,2/7/49,51,36,50
USC00189035,2/7/49,45,30,37
USW00013710,2/7/49,53,39,
USW00013751,2/7/49,46,41,
USW00093725,2/7/49,53,38,
USC00186350,2/8/49,59,23,58
USC00182325,2/8/49,56,28,56
USC00189035,2/8/49,54,28,31
USW00013710,2/8/49,59,28,
USW00013751,2/8/49,58,31,
USW00093725,2/8/49,59,29,
USC00186350,2/9/49,69,41,60
USC00182325,2/9/49,73,33,62
USC00189035,2/9/49,57,31,47
USW00013710,2/9/49,67,46,
USW00013751,2/9/49,65,46,
USW00093725,2/9/49,68,41,
USC00186350,2/10/49,60,31,33
USC00182325,2/10/49,62,31,33
USC00189035,2/10/49,66,38,38
USW00013710,2/10/49,47,30,
USW00013751,2/10/49,47,32,
USW00093725,2/10/49,49,30,
USC00186350,2/11/49,37,27,36
USC00182325,2/11/49,35,26,34
USC00189035,2/11/49,40,28,28
USW00013710,2/11/49,36,28,
USW00013751,2/11/49,36,29,
USW00093725,2/11/49,36,29,
USC00186350,2/12/49,50,20,50
USC00182325,2/12/49,,,
USC00189035,2/12/49,,22,27
USW00013710,2/12/49,51,26,
USW00013751,2/12/49,50,28,
USW00093725,2/12/49,50,27,
USC00186350,2/13/49,67,40,66
USC00182325,2/13/49,68,,68
USC00189035,2/13/49,50,27,45
USW00013710,2/13/49,67,46,
USW00013751,2/13/49,64,44,
USW00093725,2/13/49,70,44,
USC00186350,2/14/49,67,54,63
USC00182325,2/14/49,75,52,60
USC00189035,2/14/49,66,,53
USW00013710,2/14/49,63,52,
USW00013751,2/14/49,62,52,
USW00093725,2/14/49,62,56,
USC00186350,2/15/49,78,49,75
USC00182325,2/15/49,77,54,73
USC00189035,2/15/49,61,53,56
USW00013710,2/15/49,73,54,
USW00013751,2/15/49,73,53,
USW00093725,2/15/49,77,56,
USC00186350,2/16/49,75,40,42
USC00182325,2/16/49,77,42,42
USC00189035,2/16/49,75,43,44
USW00013710,2/16/49,56,41,
USW00013751,2/16/49,57,42,
USW00093725,2/16/49,59,42,
USC00186350,2/17/49,49,35,47
USC00182325,2/17/49,46,36,46
USC00189035,2/17/49,46,33,35
USW00013710,2/17/49,48,36,
USW00013751,2/17/49,46,36,
USW00093725,2/17/49,47,34,
USC00186350,2/18/49,55,25,53
USC00182325,2/18/49,53,25,52
USC00189035,2/18/49,48,27,34
USW00013710,2/18/49,52,30,
USW00013751,2/18/49,53,31,
USW00093725,2/18/49,53,31,
USC00186350,2/19/49,56,42,56
USC00182325,2/19/49,54,42,54
USC00189035,2/19/49,52,34,48
USW00013710,2/19/49,56,46,
USW00013751,2/19/49,57,45,
USW00093725,2/19/49,56,45,
USC00186350,2/20/49,67,49,62
USC00182325,2/20/49,63,49,63
USC00189035,2/20/49,51,42,51
USW00013710,2/20/49,65,50,
USW00013751,2/20/49,68,54,
USW00093725,2/20/49,65,51,
USC00186350,2/21/49,62,38,40
USC00182325,2/21/49,64,38,41
USC00189035,2/21/49,65,37,37
USW00013710,2/21/49,50,39,
USW00013751,2/21/49,58,38,
USW00093725,2/21/49,51,39,
USC00186350,2/22/49,48,38,48
USC00182325,2/22/49,,,
USC00189035,2/22/49,41,37,40
USW00013710,2/22/49,50,38,
USW00013751,2/22/49,52,40,
USW00093725,2/22/49,51,39,
USC00186350,2/23/49,55,43,54
USC00182325,2/23/49,52,38,52
USC00189035,2/23/49,50,39,45
USW00013710,2/23/49,54,40,
USW00013751,2/23/49,54,43,
USW00093725,2/23/49,54,41,
USC00186350,2/24/49,56,30,55
USC00182325,2/24/49,52,38,52
USC00189035,2/24/49,54,31,36
USW00013710,2/24/49,56,35,
USW00013751,2/24/49,56,36,
USW00093725,2/24/49,57,35,
USC00186350,2/25/49,60,44,50
USC00182325,2/25/49,59,44,48
USC00189035,2/25/49,56,36,47
USW00013710,2/25/49,57,40,
USW00013751,2/25/49,57,43,
USW00093725,2/25/49,58,40,
USC00186350,2/26/49,50,34,47
USC00182325,2/26/49,48,34,44
USC00189035,2/26/49,59,33,36
USW00013710,2/26/49,45,35,
USW00013751,2/26/49,43,34,
USW00093725,2/26/49,46,35,
USC00186350,2/27/49,47,26,45
USC00182325,2/27/49,,,
USC00189035,2/27/49,48,26,30
USW00013710,2/27/49,45,30,
USW00013751,2/27/49,46,29,
USW00093725,2/27/49,45,31,
USC00186350,2/28/49,45,24,35
USC00182325,2/28/49,,,
USC00189035,2/28/49,44,28,33
USW00013710,2/28/49,39,25,
USW00013751,2/28/49,41,24,
USW00093725,2/28/49,41,24,
USC00186350,3/1/49,38,22,37
USC00182325,3/1/49,44,21,35
USC00189035,3/1/49,40,22,25
USW00013710,3/1/49,38,23,
USW00013751,3/1/49,35,25,
USW00093725,3/1/49,37,23,
USC00186350,3/2/49,44,24,40
USC00182325,3/2/49,40,25,39
USC00189035,3/2/49,35,23,28
USW00013710,3/2/49,42,27,
USW00013751,3/2/49,40,26,
USW00093725,3/2/49,42,27,
USC00186350,3/3/49,45,35,41
USC00182325,3/3/49,41,28,41
USC00189035,3/3/49,42,28,35
USW00013710,3/3/49,43,32,
USW00013751,3/3/49,40,33,
USW00093725,3/3/49,44,33,
USC00186350,3/4/49,54,23,54
USC00182325,3/4/49,54,24,54
USC00189035,3/4/49,44,26,29
USW00013710,3/4/49,54,27,
USW00013751,3/4/49,53,29,
USW00093725,3/4/49,53,27,
USC00186350,3/5/49,66,38,63
USC00182325,3/5/49,67,33,64
USC00189035,3/5/49,52,27,43
USW00013710,3/5/49,64,42,
USW00013751,3/5/49,61,40,
USW00093725,3/5/49,65,41,
USC00186350,3/6/49,72,45,54
USC00182325,3/6/49,69,37,57
USC00189035,3/6/49,62,43,52
USW00013710,3/6/49,69,39,
USW00013751,3/6/49,68,59,
USW00093725,3/6/49,70,40,
USC00186350,3/7/49,55,29,40
USC00182325,3/7/49,57,28,47
USC00189035,3/7/49,69,27,30
USW00013710,3/7/49,40,30,
USW00013751,3/7/49,40,30,
USW00093725,3/7/49,40,29,
USC00186350,3/8/49,57,22,56
USC00182325,3/8/49,54,23,53
USC00189035,3/8/49,40,22,31
USW00013710,3/8/49,56,28,
USW00013751,3/8/49,55,30,
USW00093725,3/8/49,57,28,
USC00186350,3/9/49,60,26,56
USC00182325,3/9/49,58,25,57
USC00189035,3/9/49,56,31,39
USW00013710,3/9/49,57,31,
USW00013751,3/9/49,58,33,
USW00093725,3/9/49,59,31,
USC00186350,3/10/49,56,42,43
USC00182325,3/10/49,57,42,45
USC00189035,3/10/49,58,39,43
USW00013710,3/10/49,48,41,
USW00013751,3/10/49,48,44,
USW00093725,3/10/49,50,41,
USC00186350,3/11/49,47,34,45
USC00182325,3/11/49,45,33,42
USC00189035,3/11/49,48,33,35
USW00013710,3/11/49,45,36,
USW00013751,3/11/49,44,37,
USW00093725,3/11/49,46,35,
USC00186350,3/12/49,45,31,40
USC00182325,3/12/49,45,37,
USC00189035,3/12/49,47,30,32
USW00013710,3/12/49,40,32,
USW00013751,3/12/49,39,33,
USW00093725,3/12/49,40,32,
USC00186350,3/13/49,52,31,50
USC00182325,3/13/49,50,30,50
USC00189035,3/13/49,47,28,32
USW00013710,3/13/49,50,32,
USW00013751,3/13/49,48,32,
USW00093725,3/13/49,50,31,
USC00186350,3/14/49,58,31,53
USC00182325,3/14/49,56,26,56
USC00189035,3/14/49,52,28,36
USW00013710,3/14/49,56,33,
USW00013751,3/14/49,56,32,
USW00093725,3/14/49,55,33,
USC00186350,3/15/49,54,29,34
USC00182325,3/15/49,56,26,33
USC00189035,3/15/49,56,36,42
USW00013710,3/15/49,44,29,
USW00013751,3/15/49,46,30,
USW00093725,3/15/49,44,28,
USC00186350,3/16/49,44,24,43
USC00182325,3/16/49,42,23,41
USC00189035,3/16/49,47,22,25
USW00013710,3/16/49,44,24,
USW00013751,3/16/49,42,27,
USW00093725,3/16/49,44,25,
USC00186350,3/17/49,49,31,47
USC00182325,3/17/49,47,31,47
USC00189035,3/17/49,43,25,36
USW00013710,3/17/49,48,36,
USW00013751,3/17/49,48,36,
USW00093725,3/17/49,49,37,
USC00186350,3/18/49,47,34,38
USC00182325,3/18/49,47,33,37
USC00189035,3/18/49,47,35,35
USW00013710,3/18/49,42,33,
USW00013751,3/18/49,45,32,
USW00093725,3/18/49,43,32,
USC00186350,3/19/49,40,23,37
USC00182325,3/19/49,39,21,37
USC00189035,3/19/49,39,21,28
USW00013710,3/19/49,39,26,
USW00013751,3/19/49,39,27,
USW00093725,3/19/49,41,26,
USC00186350,3/20/49,48,25,48
USC00182325,3/20/49,47,25,47
USC00189035,3/20/49,40,25,29
USW00013710,3/20/49,48,30,
USW00013751,3/20/49,46,29,
USW00093725,3/20/49,47,30,
USC00186350,3/21/49,67,28,66
USC00182325,3/21/49,65,27,65
USC00189035,3/21/49,46,29,37
USW00013710,3/21/49,66,32,
USW00013751,3/21/49,65,33,
USW00093725,3/21/49,67,34,
USC00186350,3/22/49,71,47,64
USC00182325,3/22/49,69,48,66
USC00189035,3/22/49,64,37,57
USW00013710,3/22/49,70,51,
USW00013751,3/22/49,69,49,
USW00093725,3/22/49,68,51,
USC00186350,3/23/49,72,55,68
USC00182325,3/23/49,69,55,69
USC00189035,3/23/49,68,50,54
USW00013710,3/23/49,70,53,
USW00013751,3/23/49,69,50,
USW00093725,3/23/49,70,52,
USC00186350,3/24/49,68,41,60
USC00182325,3/24/49,69,41,61
USC00189035,3/24/49,69,40,46
USW00013710,3/24/49,66,46,
USW00013751,3/24/49,64,44,
USW00093725,3/24/49,66,45,
USC00186350,3/25/49,60,46,57
USC00182325,3/25/49,61,47,57
USC00189035,3/25/49,64,46,47
USW00013710,3/25/49,58,47,
USW00013751,3/25/49,57,46,
USW00093725,3/25/49,58,49,
USC00186350,3/26/49,65,55,65
USC00182325,3/26/49,62,54,62
USC00189035,3/26/49,57,47,55
USW00013710,3/26/49,67,56,
USW00013751,3/26/49,66,54,
USW00093725,3/26/49,66,57,
USC00186350,3/27/49,83,60,83
USC00182325,3/27/49,82,55,82
USC00189035,3/27/49,67,55,65
USW00013710,3/27/49,82,64,
USW00013751,3/27/49,80,62,
USW00093725,3/27/49,83,64,
USC00186350,3/28/49,83,57,61
USC00182325,3/28/49,82,56,61
USC00189035,3/28/49,82,59,61
USW00013710,3/28/49,64,53,
USW00013751,3/28/49,62,53,
